country,year,region,prevalence_smoking,liters_of_pure_alcohol_per_capita,pig,poultry,sheep_and_goat,fish_and_seafood,beef,life_ladder,negative_affect,social_support,freedom_to_make_life_choices,positive_affect,generosity,perceptions_of_corruption,expected_obesity_rate
Cuba,2009,Americas,33.2,5.36,19.800201,19.780191,1.1105722,8.064155,6.613407,5.417868614196777,0.27660152316093445,0.9695951342582703,0.28145793080329895,0.596187174320221,"",-0.05760580193125029,0
Cuba,2012,Americas,27.0,5.02,17.538528,18.066078,1.1546364,5.5243382,6.101656,5.417868614196777,0.27660152316093445,0.9695951342582703,0.28145793080329895,0.596187174320221,"",-0.05380724515762501,0
Cuba,2006,Americas,33.2,5.36,12.022943,17.622944,0.8530469,6.9046617,6.914697,5.417868614196777,0.27660152316093445,0.9695951342582703,0.28145793080329895,0.596187174320221,"",-0.05380724515762501,1
Cuba,2007,Americas,33.2,5.36,19.244677,14.892311,1.0529916,8.885243,6.027124,5.417868614196777,0.27660152316093445,0.9695951342582703,0.28145793080329895,0.596187174320221,"",-0.05760580193125029,0
Egypt,2006,Eastern Mediterranean,24.1,0.29,0.027157871,8.862518,1.3126304,15.887354,11.967568,5.167754173278809,0.3455551862716675,0.8478424549102783,0.8173620104789734,0.688714861869812,"",-0.0403579111586652,0
Egypt,2005,Eastern Mediterranean,24.1,0.29,0.018154338,8.114989,1.1074147,14.768555,10.157352,5.167754173278809,0.3455551862716675,0.8478424549102783,0.8173620104789734,0.688714861869812,"",-0.025481246658624244,0
Oman,2011,Eastern Mediterranean,7.7,0.73,0.010137569,24.451818,13.543793,28.567673,10.401147,6.852982044219971,0.2951641082763672,0.9162930250167847,"",0.0096732247620821,0.8625457382050754,0.16263213708636962,0
Oman,2015,Eastern Mediterranean,7.8,0.77,0.010179437,22.913912,12.225504,28.482063,8.693239,6.852982044219971,0.2951641082763672,0.9162930250167847,"",0.0096732247620821,0.8581075625892653,0.16263213708636962,0
Oman,2013,Eastern Mediterranean,7.7,0.73,0.009864573,26.042475,12.192613,27.226223,12.301124,6.852982044219971,0.2951641082763672,0.9162930250167847,"",0.0096732247620821,0.8649420752311308,0.13523010622555423,0
Oman,2014,Eastern Mediterranean,7.7,0.73,0.010044217,24.296963,12.736068,27.430758,10.757357,6.852982044219971,0.2951641082763672,0.9162930250167847,"",0.0096732247620821,0.8625457382050754,0.16263213708636962,0
Oman,2012,Eastern Mediterranean,7.7,0.73,0.009893695,26.465635,12.555099,27.187874,11.437112,6.852982044219971,0.2951641082763672,0.9162930250167847,"",0.0096732247620821,0.8582465877977612,0.13523010622555423,0
Oman,2016,Eastern Mediterranean,7.8,0.77,0.010183989,21.406746,12.098579,28.76977,7.444496,6.852982044219971,0.2951641082763672,0.9162930250167847,"",0.0096732247620821,0.8358044008832379,0.1666671998297085,0
