country,year,region,percentage_obesity,hunger_index,prevalence_smoking,liters_of_pure_alcohol_per_capita,pig,poultry,sheep_and_goat,fish_and_seafood,beef,life_ladder,negative_affect,social_support,freedom_to_make_life_choices,positive_affect,generosity,perceptions_of_corruption
Honduras,2012,Americas,19.0,13.8,3.59,3.9507914,18.722033,0.029483518,3.243187,6.053949,4.602218151092529,0.2935912609100342,0.7791948914527893,0.7004520893096924,0.7963443398475647,-0.004340268671512604,0.871437132358551,19.73700640613497
Syria,2010,Eastern Mediterranean,23.8,"",0.88,0.0,8.435195,7.5362062,3.0508246,3.5290103,4.464707851409912,0.22464370727539062,0.9342316389083862,0.6470479965209961,0.4890917241573334,0.0050447676330804825,0.7430939674377441,22.361895720594955
Guinea,2011,Africa,6.2,"",0.7,0.1682607,1.870663,1.5638348,11.075513,6.176157,4.044569492340088,0.26013317704200745,0.5984655618667603,0.7968302369117737,0.6697989106178284,0.039881400763988495,0.7432562708854675,19.22834660615535
United Arab Emirates,2012,Eastern Mediterranean,29.0,"",3.15,0.0,22.534924,7.2689896,26.765497,2.5003636,7.217766761779785,0.22398534417152405,0.8558768033981323,0.9197925925254822,0.7194701433181763,0.06471939384937286,0.3551158905029297,22.386496316879626
Honduras,2008,Americas,16.7,19.6,3.88,4.9164133,18.734789,0.036150098,3.0456457,9.2002,5.420331001281738,0.20585381984710693,0.8281759023666382,0.686880886554718,0.7189487814903259,0.22181490063667297,0.8632220029830933,22.2170087395209
Tajikistan,2013,Europe,12.7,"",2.4,0.4160454,3.0311878,5.5670834,0.52500963,8.211944,4.966521263122559,0.16962093114852905,0.7006428241729736,0.6931197643280029,0.5782091021537781,0.058206621557474136,0.7642365097999573,24.5602400650908
United Arab Emirates,2009,Eastern Mediterranean,27.0,"",3.64,0.0,41.667206,9.588768,23.909153,6.373199,6.866062641143799,0.28707441687583923,0.8850893378257751,0.8488218784332275,0.718198835849762,0.016182567924261093,0.3388764560222626,20.446088990654488
Gabon,2011,Africa,13.2,20.2,9.89,5.447112,29.52658,1.0837187,32.663662,6.026997,4.255400657653809,0.26395511627197266,0.6527015566825867,0.7718719244003296,0.5644175410270691,-0.21101577579975128,0.8508309125900269,29.52114080218624
Tajikistan,2010,Europe,11.3,"",2.4,0.39502558,3.0318213,5.382223,0.3752743,3.4169712,4.380636215209961,0.19173303246498108,0.7591630220413208,0.7844958901405334,0.4826405942440033,0.05698144808411598,0.6785277724266052,20.1082306137108
Nicaragua,2014,Americas,22.5,14.9,4.79,3.720224,21.341816,0.009894213,6.282825,4.5810204,6.275266647338867,0.3339357376098633,0.8385674357414246,0.8173206448554993,0.7823294401168823,0.1023532897233963,0.6988080143928528,15.290722740569027
Central African Republic,2007,Africa,5.2,48.0,3.62,3.02235,1.1638863,3.5855207,7.4526267,19.26044,4.160129547119141,0.3299953043460846,0.532296895980835,0.6628710031509399,0.5669291019439697,0.08294988423585892,0.7821307182312012,18.011836744940034
Nicaragua,2011,Americas,20.9,17.4,4.79,3.0694327,17.780857,0.009933439,5.6223264,2.4138258,5.385705471038818,0.3090188205242157,0.8003051280975342,0.7785910367965698,0.7470220923423767,-0.021448839455842972,0.7602425217628479,18.626856619023066
Nicaragua,2015,Americas,23.1,14.9,5.03,4.396581,20.016794,0.009879958,5.6809754,3.1615865,5.924112796783447,0.3455946445465088,0.826908528804779,0.8092591762542725,0.7710625529289246,0.07556244730949402,0.7279983758926392,17.061146099642386
Syria,2013,Eastern Mediterranean,25.8,"",0.88,0.0,6.375469,8.20614,2.3498156,3.2788126,2.6875529289245605,0.6222299337387085,0.5854500532150269,0.4548828899860382,0.353619247674942,0.22155450284481049,0.6634309887886047,20.220069901852614
Macedonia,2012,Europe,20.8,2.5,5.93,8.095038,18.27653,1.4344368,5.206103,7.091936,4.639647483825684,0.4217519164085388,0.7983050346374512,0.6130557060241699,0.5509129762649536,-0.08867183327674866,0.9198451638221741,25.42218253896057
Trinidad and Tobago,2011,Americas,15.8,11.3,6.21,6.228302,56.92969,2.5308359,21.497992,3.5751584,6.5187458992004395,0.1340906322002411,0.8628385066986084,0.7753918766975403,0.8266875743865967,0.07780667394399643,0.8999565243721008,21.83363034788434
Central African Republic,2010,Africa,5.9,48.0,3.98,4.0197906,1.26148,4.339868,8.886844,18.244389,3.567892551422119,0.25670528411865234,0.48333388566970825,0.6899508833885193,0.4779152572154999,-0.032762061804533005,0.8453769683837891,17.713322655210703
Gabon,2013,Africa,13.9,18.6,9.89,6.5717397,29.419996,0.88833106,32.954216,6.8296423,3.8002870082855225,0.2870970070362091,0.7334875464439392,0.6824901103973389,0.5185444355010986,-0.1455642431974411,0.7804388999938965,35.53040695956536
Nicaragua,2006,Americas,18.4,17.4,5.3,1.9183295,15.456541,0.009991299,5.0256243,5.0456066,4.460158348083496,0.29441577196121216,0.8771701455116272,0.745456337928772,0.7802071571350098,0.007597656920552254,0.8443913459777832,17.26490135054659
Libya,2015,Eastern Mediterranean,31.9,"",0.029,0.020729167,33.75745,5.638334,16.697346,2.3423958,5.6154046058654785,0.3689052164554596,0.8679876923561096,0.7745449542999268,0.6516380310058594,-0.0868995189666748,0.7905561327934265,22.018711904040284
Macedonia,2010,Europe,20.1,7.7,5.93,7.609584,17.16674,1.0039029,5.5817,8.402667,4.180202007293701,0.3138190507888794,0.6868547797203064,0.5131839513778687,0.47275397181510925,-0.0628315657377243,0.8564526438713074,29.242527724638315
Libya,2016,Eastern Mediterranean,32.5,"",0.029,0.010333956,30.846859,6.13837,17.433384,1.7671065,5.4335832595825195,0.38307374715805054,0.8760658502578735,0.8223848342895508,0.6449336409568787,-0.13296695053577423,0.7905561327934265,22.84971934614589
Djibouti,2009,Eastern Mediterranean,11.5,36.9,1.28,0.20068671,4.8073587,5.035412,2.0980883,7.1152563,4.905925273895264,0.23213280737400055,0.9005650281906128,0.6493160128593445,0.6301107406616211,-0.0035400125198066235,0.6342228055000305,24.932564468996453
Suriname,2012,Americas,24.4,10.4,6.22,7.2603655,34.789658,0.06785388,16.885923,5.9614487,6.269286632537842,0.2503649890422821,0.7972620725631714,0.8854884505271912,0.7301676869392395,-0.08617804944515228,0.7512828707695007,19.114805582717132
Trinidad and Tobago,2007,Americas,13.8,11.3,6.17,9.232407,40.306644,2.2797234,18.644543,5.420255,5.832188606262207,0.22904427349567413,0.8867891430854797,0.8400887250900269,0.7500196695327759,0.14134420454502106,0.9174284934997559,20.54065680910322
Honduras,2010,Americas,17.8,19.6,3.59,4.0940695,17.330906,0.029524539,3.070552,6.9677916,5.86613130569458,0.2599462568759918,0.8029389977455139,0.6455284953117371,0.745393693447113,0.10421539843082428,0.8199400901794434,21.104158831973017
Gabon,2014,Africa,14.3,18.6,9.89,7.0307875,29.521643,1.1877624,35.326355,7.1840467,3.9180731773376465,0.2930424213409424,0.8285971283912659,0.60661381483078,0.5330895781517029,-0.1981739103794098,0.7816584706306458,35.84139945438938
Guinea,2013,Africa,6.7,"",0.7,0.16750225,2.0494394,1.6947287,13.479006,6.562147,3.9017930030822754,0.34805700182914734,0.5668665766716003,0.6927366256713867,0.6055405735969543,0.09045867621898651,0.8154816031455994,19.946806478352123
Syria,2014,Eastern Mediterranean,26.4,"",0.88,0.0,6.776973,7.9049144,2.572826,2.8618028,2.6875529289245605,0.6222299337387085,0.5854500532150269,0.4548828899860382,0.353619247674942,0.22155450284481049,0.6634309887886047,20.220069901852614
United Arab Emirates,2007,Eastern Mediterranean,25.7,"",3.64,0.0,43.630703,12.546294,24.184439,17.659575,6.734221935272217,0.275255411863327,0.9034104347229004,0.8975570201873779,0.6939624547958374,-0.04206235334277153,0.20335876941680908,19.9614033438626
Angola,2016,Africa,8.2,27.8,7.96,7.4789042,8.804529,0.8309893,19.31061,4.263767,3.7948379516601562,0.36786413192749023,0.7546154856681824,0.3745415508747101,0.5952494144439697,-0.17003098130226135,0.8340756297111511,23.266652678745125
Angola,2012,Africa,6.8,27.8,8.16,6.927844,13.865656,0.88716274,23.61448,5.821383,4.360249996185303,0.30489006638526917,0.7525928616523743,0.4560285806655884,0.5908082127571106,-0.13862955570220947,0.9063004851341248,25.92297685745144
United Arab Emirates,2008,Eastern Mediterranean,26.3,"",3.64,0.0,42.796024,13.5324545,22.88162,16.966644,6.734221935272217,0.275255411863327,0.9034104347229004,0.8975570201873779,0.6939624547958374,-0.04206235334277153,0.20335876941680908,19.9614033438626
Tajikistan,2011,Europe,11.8,"",2.4,0.39553902,2.8577695,5.389219,0.52408916,3.4214125,4.26267147064209,0.1656322330236435,0.7507383823394775,0.7761799693107605,0.5734552145004272,-0.12384247034788132,0.6721991896629333,20.1082306137108
Trinidad and Tobago,2008,Americas,14.3,11.3,6.17,6.4911456,41.668053,2.3621347,18.727003,6.566734,6.696444034576416,0.18378980457782745,0.8583003878593445,0.8381404280662537,0.8021268844604492,0.08663920313119888,0.9588281512260437,20.855638702022613
Central African Republic,2011,Africa,6.1,48.0,3.98,3.8474507,1.2887093,4.977406,8.703457,18.5929,3.677826404571533,0.27717992663383484,0.3873909115791321,0.7800177931785583,0.5018728375434875,-0.012097322382032871,0.8344988822937012,18.19430949140888
United Arab Emirates,2013,Eastern Mediterranean,29.7,"",3.15,0.0,21.996742,7.5354347,26.557941,2.6063986,6.620951175689697,0.29111284017562866,0.8637157678604126,0.9359788298606873,0.7194701433181763,0.06471939384937286,0.3551158905029297,22.386496316879626
Syria,2015,Eastern Mediterranean,27.1,"",0.28,0.0,6.7283134,7.92779,1.6024257,2.8487568,3.4619128704071045,0.64258873462677,0.46391287446022034,0.44827085733413696,0.36301854252815247,0.03887011483311653,0.685236930847168,20.220069901852614
Venezuela,2009,Americas,22.9,11.2,9.42,7.688621,40.76382,0.33297178,14.539767,25.679188,7.188803195953369,0.1802264153957367,0.9445409774780273,0.6768856644630432,0.7924982905387878,-0.1214122325181961,0.8275936841964722,25.42619643721789
Syria,2011,Eastern Mediterranean,24.4,"",0.88,0.0,8.24518,8.235905,3.2275844,3.1626618,4.03788948059082,0.4955054521560669,0.575722336769104,0.5304327607154846,0.5214139819145203,0.12750929594039917,0.7405855059623718,19.257367796155663
Trinidad and Tobago,2010,Americas,15.3,11.3,6.21,7.203589,57.459217,2.5518596,18.842329,4.0302434,6.696444034576416,0.18378980457782745,0.8583003878593445,0.8381404280662537,0.8021268844604492,0.08663920313119888,0.9588281512260437,20.087568704048724
Trinidad and Tobago,2015,Americas,18.0,10.8,6.88,7.1212454,57.71117,2.552014,20.425495,4.5317016,6.1677069664001465,0.28592944145202637,0.8831804990768433,0.8469414710998535,0.7639418840408325,0.12325627356767654,0.947674036026001,20.087568704048724
Libya,2012,Eastern Mediterranean,30.0,"",0.098,0.03212672,21.225054,8.299403,24.116459,4.8190084,5.754394054412842,0.31614968180656433,0.8549309372901917,0.7115188837051392,0.633086085319519,-0.07407072931528091,0.7905561327934265,21.59194947418161
Nicaragua,2010,Americas,20.4,17.4,4.79,2.7748792,16.94765,0.009945803,6.3951516,3.083199,5.686699390411377,0.26802337169647217,0.8631515502929688,0.7917733192443848,0.7491263151168823,0.016336319968104362,0.8017289042472839,18.130795130198504
Tajikistan,2015,Europe,13.7,"",3.11,0.44630268,3.6398466,6.2581553,0.53556323,11.346005,5.124210834503174,0.19566133618354797,0.8439325094223022,0.8465421199798584,0.6332980990409851,0.016705302521586418,0.7416896224021912,22.853100149122227
Trinidad and Tobago,2009,Americas,14.8,11.3,6.17,7.4307966,44.188217,2.5587623,18.704456,6.2883234,6.696444034576416,0.18378980457782745,0.8583003878593445,0.8381404280662537,0.8021268844604492,0.08663920313119888,0.9588281512260437,20.855638702022613
Venezuela,2012,Americas,24.0,7.4,8.67,7.173265,39.15407,0.30884892,11.955442,24.508657,7.066577434539795,0.17630785703659058,0.9316296577453613,0.8041085600852966,0.843570351600647,-0.1988457441329956,0.7433743476867676,23.608505768617025
Trinidad and Tobago,2012,Americas,16.3,10.8,6.21,6.168435,57.067425,2.5388377,22.134903,4.2125897,6.5187458992004395,0.1340906322002411,0.8628385066986084,0.7753918766975403,0.8266875743865967,0.07780667394399643,0.8999565243721008,21.83363034788434
Honduras,2013,Americas,19.5,13.8,3.59,4.4580965,18.028778,0.03927838,2.0130172,6.480933,4.713358402252197,0.2832813262939453,0.7919602394104004,0.6984003782272339,0.7949846982955933,-0.028296036645770073,0.8676997423171997,22.397453687476574
Venezuela,2013,Americas,24.4,7.4,8.67,7.4257817,40.023365,0.32936937,11.008921,26.279682,6.552796363830566,0.2376091033220291,0.8963010907173157,0.6419652104377747,0.8121441006660461,-0.22771157324314117,0.8372997045516968,26.248480840376136
United Arab Emirates,2016,Eastern Mediterranean,31.7,"",3.79,0.0,31.202345,4.673066,27.16415,7.0148034,6.8309502601623535,0.2446679025888443,0.84937983751297,0.949119508266449,0.7390806674957275,0.121524877846241,0.3551158905029297,20.17366718633765
Venezuela,2008,Americas,22.5,11.2,9.42,9.02978,41.474575,0.312066,13.348371,27.411472,6.2577714920043945,0.22419074177742004,0.9224338531494141,0.6784005165100098,0.8180302977561951,-0.2297128438949585,0.776102602481842,25.007539834434148
Macedonia,2015,Europe,22.0,2.5,5.93,8.659356,18.462772,0.7692822,6.3515096,7.2785935,4.975589752197266,0.2990220785140991,0.7663681507110596,0.660318911075592,0.5508104562759399,-0.05075867101550102,0.8241789937019348,24.401915180047606
Angola,2014,Africa,7.5,27.8,8.16,10.586778,15.4928465,0.8739554,26.178938,6.534803,3.7948379516601562,0.36786413192749023,0.7546154856681824,0.3745415508747101,0.5952494144439697,-0.17003098130226135,0.8340756297111511,28.79313350037281
Honduras,2006,Americas,15.6,19.6,3.88,4.2793283,17.626108,0.03634249,4.270242,9.230992,5.396519660949707,0.1554739773273468,0.9326767921447754,0.6502535939216614,0.8371691107749939,0.08785472810268402,0.8435390591621399,22.754883627745272
Tajikistan,2016,Europe,14.2,"",3.11,0.36738166,3.4653025,5.8880353,0.37731087,15.658402,5.1037211418151855,0.21979966759681702,0.8566569685935974,0.7030268907546997,0.5874475240707397,0.0041775815188884735,0.6318878531455994,21.342104047642287
Suriname,2016,Americas,26.4,10.4,5.81,6.967007,32.493267,0.04858443,16.528423,3.8576038,6.269286632537842,0.2503649890422821,0.7972620725631714,0.8854884505271912,0.7301676869392395,-0.08617804944515228,0.7512828707695007,18.787989062249295
Central African Republic,2013,Africa,6.6,40.5,3.98,3.5380702,1.3985566,4.945889,7.4651437,19.14448,3.677826404571533,0.27717992663383484,0.3873909115791321,0.7800177931785583,0.5018728375434875,-0.012097322382032871,0.8344988822937012,18.19430949140888
Macedonia,2009,Europe,19.8,7.7,7.03,11.792905,17.0409,1.0958455,5.6601925,9.782179,4.4280219078063965,0.37005382776260376,0.7344309687614441,0.5521737337112427,0.48766809701919556,-0.04641817510128021,0.8439157605171204,27.272684240190756
Sudan,2012,Eastern Mediterranean,"",29.8,"",0.0,1.3485329,8.770612,1.1529442,8.914729,4.550499439239502,0.24237386882305145,0.8125007152557373,0.41194790601730347,0.5109196305274963,-0.06949610263109207,0.7336792945861816,25.912276974439443
Central African Republic,2009,Africa,5.6,48.0,3.62,3.869223,1.2430114,4.1776395,8.187053,18.075068,4.160129547119141,0.3299953043460846,0.532296895980835,0.6628710031509399,0.5669291019439697,0.08294988423585892,0.7821307182312012,18.011836744940034
Macedonia,2016,Europe,22.4,2.5,5.93,9.644696,17.681944,0.5719758,6.2227025,6.8834333,5.345746040344238,0.2922946810722351,0.8712122440338135,0.7061793208122253,0.5873298048973083,0.07562314718961716,0.8697190284729004,23.865008805224562
Central African Republic,2012,Africa,6.4,40.5,3.98,3.429246,1.4497625,4.9440618,8.0666275,18.856207,3.677826404571533,0.27717992663383484,0.3873909115791321,0.7800177931785583,0.5018728375434875,-0.012097322382032871,0.8344988822937012,18.19430949140888
Libya,2013,Eastern Mediterranean,30.6,"",0.098,0.01055933,20.918034,7.349294,23.864088,4.329325,5.754394054412842,0.31614968180656433,0.8549309372901917,0.7115188837051392,0.633086085319519,-0.07407072931528091,0.7905561327934265,21.514021842602663
Guinea,2015,Africa,7.4,"",1.07,0.16716321,2.0354578,1.7306309,10.108458,6.932357,3.5046935081481934,0.26774123311042786,0.5788596272468567,0.6659530401229858,0.6581036448478699,0.006180015858262777,0.7621520161628723,19.442576663871357
Suriname,2013,Americas,24.9,10.4,6.22,7.701329,34.219505,0.29098222,17.041859,5.3540726,6.269286632537842,0.2503649890422821,0.7972620725631714,0.8854884505271912,0.7301676869392395,-0.08617804944515228,0.7512828707695007,19.696396954902735
Angola,2013,Africa,7.1,27.8,8.16,7.4027214,14.228349,0.88554054,23.024054,5.920187,3.9371068477630615,0.3708750009536743,0.7215907573699951,0.4095548689365387,0.650046706199646,-0.10599195212125778,0.8163754940032959,25.135422089818164
Nicaragua,2009,Americas,19.9,17.4,5.3,2.5278301,15.933291,0.009952087,5.642833,5.165133,5.352804660797119,0.29906466603279114,0.8346880674362183,0.7460650205612183,0.7398453950881958,0.06829767674207687,0.7944867610931396,17.5143925337398
Venezuela,2015,Americas,25.2,7.4,6.82,7.0648513,31.057756,0.32516053,8.513293,18.238548,5.568800449371338,0.22263523936271667,0.9110868573188782,0.5121593475341797,0.8370686173439026,-0.08586479723453522,0.813096821308136,24.335922411887758
Sudan,2014,Eastern Mediterranean,"",29.8,"",0.0,1.334245,10.140263,0.9955521,9.08313,4.138672828674316,0.3027249872684479,0.8106155395507812,0.3900958001613617,0.46132752299308777,-0.07675710320472717,0.793785035610199,23.97471829686547
Trinidad and Tobago,2006,Americas,13.3,11.3,6.17,6.926965,36.792408,2.0534856,18.131237,3.823079,5.832188606262207,0.22904427349567413,0.8867891430854797,0.8400887250900269,0.7500196695327759,0.14134420454502106,0.9174284934997559,20.087568704048724
Angola,2015,Africa,7.9,27.8,7.96,8.376781,9.67543,0.8525482,22.523132,5.0756354,3.7948379516601562,0.36786413192749023,0.7546154856681824,0.3745415508747101,0.5952494144439697,-0.17003098130226135,0.8340756297111511,24.514458022479552
Tajikistan,2007,Europe,10.1,"",2.51,1.582773,2.8786683,4.2141333,0.31655458,3.561239,4.4316086769104,0.13311375677585602,0.726655125617981,0.8183550238609314,0.6194653511047363,-0.003961680922657251,0.6585198044776917,19.680391713313334
United Arab Emirates,2011,Eastern Mediterranean,28.3,"",3.15,0.0,20.678816,6.3956175,25.467703,2.5144272,7.118701457977295,0.21587003767490387,0.8813689351081848,0.889463484287262,0.7015542984008789,0.06471939384937286,0.3551158905029297,22.386496316879626
Central African Republic,2014,Africa,6.9,40.5,3.98,3.8419094,1.7209522,4.9395976,7.4605603,19.274664,3.677826404571533,0.27717992663383484,0.3873909115791321,0.7800177931785583,0.5018728375434875,-0.012097322382032871,0.8344988822937012,18.64744545632116
Guinea,2016,Africa,7.7,"",1.07,0.19676489,2.0857077,1.8299134,9.995656,7.162242,3.6028547286987305,0.3743937909603119,0.6754470467567444,0.725685179233551,0.6761224865913391,-0.05678458884358406,0.8027811646461487,19.489425434561095
Sudan,2013,Eastern Mediterranean,"",29.8,"",0.0,1.3802958,9.023426,1.0815749,9.126432,4.550499439239502,0.24237386882305145,0.8125007152557373,0.41194790601730347,0.5109196305274963,-0.06949610263109207,0.7336792945861816,25.912276974439443
Sudan,2016,Eastern Mediterranean,"",29.8,0.52,0.0,1.3559884,8.479987,1.18396,9.1681,4.138672828674316,0.3027249872684479,0.8106155395507812,0.3900958001613617,0.46132752299308777,-0.07675710320472717,0.793785035610199,21.545672355097626
Djibouti,2010,Eastern Mediterranean,11.8,36.9,0.67,0.6214059,1.4895464,4.934694,2.366825,6.6252832,5.005810737609863,0.23213280737400055,0.9005650281906128,0.7637303471565247,0.6301107406616211,-0.0689530223608017,0.5969102382659912,25.03521618388366
Venezuela,2006,Americas,21.8,11.2,9.42,6.310636,31.703672,0.31101704,13.333602,19.43355,6.525146007537842,0.17848293483257294,0.9463098645210266,0.7982808351516724,0.8366719484329224,-0.03478657826781273,0.6461709141731262,24.393282811144243
Nicaragua,2012,Americas,21.5,14.9,4.79,3.383082,18.691278,0.009921061,5.367294,2.5298705,5.4480061531066895,0.2546604871749878,0.8940544128417969,0.850304901599884,0.761726438999176,0.015351702459156513,0.6435787677764893,18.27983027657119
Central African Republic,2015,Africa,7.2,40.5,2.43,3.7384636,1.8086332,4.9784026,7.393021,19.363564,3.677826404571533,0.27717992663383484,0.3873909115791321,0.7800177931785583,0.5018728375434875,-0.012097322382032871,0.8344988822937012,19.238012257940596
Djibouti,2013,Eastern Mediterranean,12.6,35.4,0.67,0.099952556,1.6174141,4.5432982,3.3711274,8.332409,4.3691935539245605,0.1805926263332367,0.6329732537269592,0.7464394569396973,0.5427360534667969,-0.07867881655693054,0.5189301371574402,19.36972877872182
Venezuela,2016,Americas,25.6,7.4,6.82,6.467085,21.479267,0.32044116,9.661786,15.060734,4.041114807128906,0.3917541205883026,0.9019492864608765,0.4576015770435333,0.6756623387336731,-0.05605049803853035,0.8901246786117554,27.86941381728149
Macedonia,2013,Europe,21.2,2.5,5.93,7.8478036,18.311543,0.94213736,5.5325513,7.3266215,5.186190605163574,0.3308756649494171,0.8322537541389465,0.6409526467323303,0.5212642550468445,0.020364999771118164,0.8605411052703857,25.42218253896057
United Arab Emirates,2015,Eastern Mediterranean,31.0,"",3.79,0.0,32.452164,4.6434436,27.5698,7.0534635,6.568397521972656,0.2957329750061035,0.8241366744041443,0.9150362014770508,0.7220892310142517,0.19346120953559875,0.3551158905029297,20.21331963038513
Venezuela,2010,Americas,23.3,11.2,8.67,7.3291245,44.51948,0.37636045,10.488571,19.16467,7.47845458984375,0.1296858936548233,0.9315758347511292,0.7682569622993469,0.8473997712135315,-0.16053737699985504,0.7542689442634583,24.199259283253838
Central African Republic,2016,Africa,7.5,40.5,2.43,4.015944,1.9339453,5.36693,7.245355,18.94156,2.693061113357544,0.4942680597305298,0.2901841700077057,0.6240565180778503,0.5507851243019104,0.03731833025813103,0.8590730428695679,19.36647375931159
Suriname,2014,Americas,25.4,10.4,6.22,7.3482633,34.188354,0.10677793,16.492336,5.6398163,6.269286632537842,0.2503649890422821,0.7972620725631714,0.8854884505271912,0.7301676869392395,-0.08617804944515228,0.7512828707695007,18.670912115073662
Honduras,2007,Americas,16.1,19.6,3.88,4.6920586,18.18852,0.027174084,4.3569117,9.438465,5.097154140472412,0.19878000020980835,0.8188685774803162,0.6756309866905212,0.7119174003601074,0.2290196418762207,0.825974702835083,19.019744425140537
Suriname,2015,Americas,25.9,10.4,5.81,6.9744105,33.580135,0.038854655,16.54237,5.148242,6.269286632537842,0.2503649890422821,0.7972620725631714,0.8854884505271912,0.7301676869392395,-0.08617804944515228,0.7512828707695007,18.67980558271713
