country,year,region,percentage_obesity,hunger_index,prevalence_smoking,liters_of_pure_alcohol_per_capita,pig,poultry,sheep_and_goat,fish_and_seafood,beef,life_ladder,negative_affect,social_support,freedom_to_make_life_choices,positive_affect,generosity,perceptions_of_corruption
Gabon,2012,Africa,13.5,18.6,9.89,5.5166545,28.993402,0.96231794,32.128082,6.0978565,3.9720592498779297,0.26574307680130005,0.7360961437225342,0.5659658312797546,0.5035544633865356,-0.19485735893249512,0.8101196885108948,30.742213918374908
Gabon,2015,Africa,14.6,18.6,9.57,6.952602,31.305914,0.81625855,32.948036,8.056952,4.661012649536133,0.3716563284397125,0.7558619976043701,0.6713007092475891,0.5996432304382324,-0.19396649301052094,0.8667774796485901,29.032941015874787
Nicaragua,2008,Americas,19.4,17.4,5.3,2.451457,16.323116,0.009965273,4.643817,5.191907,5.103827476501465,0.2893447279930115,0.8571862578392029,0.7908310890197754,0.7703761458396912,0.07344671338796616,0.8189492225646973,17.5143925337398
Djibouti,2011,Eastern Mediterranean,12.0,36.9,0.67,0.10939146,1.5314804,4.5488615,2.7530184,6.5634875,4.3691935539245605,0.1805926263332367,0.6329732537269592,0.7464394569396973,0.5427360534667969,-0.07867881655693054,0.5189301371574402,19.36972877872182
Macedonia,2008,Europe,19.4,7.7,7.03,10.96673,15.7055645,1.2073466,5.926059,9.5078535,4.493598461151123,0.2511228919029236,0.8105379343032837,0.439399778842926,0.5583559274673462,0.07526964694261551,0.8695459365844727,27.519296153880113
Angola,2011,Africa,6.5,46.9,8.16,6.5896287,12.729965,0.9085701,19.579185,5.511326,5.589000701904297,0.361063152551651,0.7230943441390991,0.5837017893791199,0.6668325662612915,0.05261906236410141,0.9113203287124634,24.189737088539744
Trinidad and Tobago,2016,Americas,18.6,10.8,6.88,6.0865803,58.052288,2.4946542,19.075663,4.2953067,6.1677069664001465,0.28592944145202637,0.8831804990768433,0.8469414710998535,0.7639418840408325,0.12325627356767654,0.947674036026001,20.087568704048724
United Arab Emirates,2006,Eastern Mediterranean,25.0,"",3.64,0.0,43.525085,12.819646,23.897491,6.55912,6.734221935272217,0.275255411863327,0.9034104347229004,0.8975570201873779,0.6939624547958374,-0.04206235334277153,0.20335876941680908,20.052171997780857
Djibouti,2014,Eastern Mediterranean,12.9,35.4,0.67,0.09998069,1.6724043,5.1989956,3.4629674,6.853222,4.3691935539245605,0.1805926263332367,0.6329732537269592,0.7464394569396973,0.5427360534667969,-0.07867881655693054,0.5189301371574402,19.36972877872182
Venezuela,2011,Americas,23.7,11.2,8.67,8.081765,45.79998,0.39713836,10.30574,20.34341,6.579789161682129,0.1986662596464157,0.9306198954582214,0.7663350105285645,0.8234338760375977,-0.23247866332530975,0.7715393304824829,24.036818694348277
Central African Republic,2008,Africa,5.4,48.0,3.62,3.794124,1.1991304,4.0564337,7.663193,18.12748,4.160129547119141,0.3299953043460846,0.532296895980835,0.6628710031509399,0.5669291019439697,0.08294988423585892,0.7821307182312012,18.011836744940034
Sudan,2015,Eastern Mediterranean,"",29.8,0.52,0.0,1.3554991,8.632389,1.0395557,9.182742,4.138672828674316,0.3027249872684479,0.8106155395507812,0.3900958001613617,0.46132752299308777,-0.07675710320472717,0.793785035610199,21.545672355097626
Guinea,2014,Africa,7.0,"",0.7,0.15742548,2.017014,1.6824849,10.704933,6.7397785,3.412482500076294,0.3512645363807678,0.6377137303352356,0.6835575699806213,0.6433825492858887,0.005591684486716986,0.7052463889122009,19.430274427070074
Venezuela,2007,Americas,22.2,11.2,9.42,8.18876,34.1416,0.3114743,15.161765,22.787863,6.525146007537842,0.17848293483257294,0.9463098645210266,0.7982808351516724,0.8366719484329224,-0.03478657826781273,0.6461709141731262,23.859577997934466
Libya,2014,Eastern Mediterranean,31.3,"",0.098,0.020866655,33.532715,1.4606658,20.000689,3.4847312,5.754394054412842,0.31614968180656433,0.8549309372901917,0.7115188837051392,0.633086085319519,-0.07407072931528091,0.7905561327934265,22.120781119375394
Tajikistan,2009,Europe,10.9,"",2.51,1.4059216,3.8189216,4.935682,0.3489876,3.589587,4.575174808502197,0.2031901776790619,0.6756530404090881,0.7437865138053894,0.47487011551856995,-0.004027500748634338,0.791703999042511,19.680391713313334
Trinidad and Tobago,2014,Americas,17.4,10.8,6.21,7.5204372,57.957127,2.5537565,21.94165,3.6898026,6.1677069664001465,0.28592944145202637,0.8831804990768433,0.8469414710998535,0.7639418840408325,0.12325627356767654,0.947674036026001,20.087568704048724
Macedonia,2011,Europe,20.5,7.7,5.93,6.92267,16.544178,1.5751582,5.738793,7.735331,4.89818000793457,0.3627506196498871,0.7843000888824463,0.6074632406234741,0.5030908584594727,-0.09155626595020294,0.8650624752044678,25.17183306204859
Guinea,2012,Africa,6.4,"",0.7,0.16784605,1.994406,1.629094,11.630744,6.358403,3.651554822921753,0.28457337617874146,0.5422952771186829,0.6461878418922424,0.657049834728241,3.030268126167357E-4,0.7944502234458923,19.131760337340747
