country,year,region,percentage_obesity,hunger_index,prevalence_smoking,liters_of_pure_alcohol_per_capita,pig,poultry,sheep_and_goat,fish_and_seafood,beef,life_ladder,negative_affect,social_support,freedom_to_make_life_choices,positive_affect,generosity,perceptions_of_corruption
China,2007,Western Pacific,3.7,9.0,26.6,4.02,32.240013,11.207772,2.877671,29.433022,4.533594,4.8628621101379395,0.15861351788043976,0.8108524084091187,"",0.6639774441719055,-0.17888285219669342,0.7628571720983861
China,2008,Western Pacific,3.9,9.0,26.6,4.02,33.91741,11.871095,2.8466399,30.636711,4.512227,4.84629487991333,0.14696304500102997,0.7482873201370239,0.8530720472335815,0.7051332592964172,-0.09518376737833023,0.804168822334891
China,2009,Western Pacific,4.1,9.0,26.6,4.02,34.99394,12.179263,2.9060712,32.14841,4.692094,4.4543609619140625,0.16165024042129517,0.7980343699455261,0.7711432576179504,0.6696659922599792,-0.16326375305652618,0.8079498389600748
China,2010,Western Pacific,4.4,9.0,26.2,7.07,37.657265,12.183532,2.710836,32.458958,4.670354,4.652736663818359,0.15809965133666992,0.7677525877952576,0.8047935962677002,0.658100962638855,-0.13618166744709015,0.8079498389600748
China,2011,Western Pacific,4.7,9.0,26.2,7.07,36.11912,12.506284,2.829889,32.924084,4.5034795,5.03720760345459,0.13350345194339752,0.7871711850166321,0.8241623640060425,0.7100548148155212,-0.18927115201950073,0.8055038537713818
China,2012,Western Pacific,5.0,2.5,26.2,7.07,36.556,12.772821,2.99822,33.942684,4.527717,5.094917297363281,0.1587029993534088,0.787818193435669,0.808255136013031,0.6891598105430603,-0.1874886155128479,0.8079498389600748
China,2013,Western Pacific,5.2,2.5,26.2,7.07,37.090572,13.027722,3.1760132,35.36096,4.7033315,5.241090297698975,0.14221104979515076,0.7778958678245544,0.8047239184379578,0.7171358466148376,-0.160522922873497,0.8079498389600748
China,2014,Western Pacific,5.5,2.5,26.2,7.07,37.370914,13.285416,3.3440855,36.835457,4.7483993,5.195619106292725,0.11151770502328873,0.8203660249710083,0.8047239184379578,0.7097631096839905,-0.2194851040840149,0.8060585228471417
China,2015,Western Pacific,5.9,2.5,25.9,7.15,37.792786,13.495981,3.5026968,38.41863,4.8957,5.303877830505371,0.17131498456001282,0.7937337160110474,0.8047239184379578,0.6668272614479065,-0.24714863300323486,0.8060585228471417
China,2016,Western Pacific,6.2,2.5,25.9,7.15,38.4002,13.74822,3.6816585,38.944885,4.952587,5.324955940246582,0.14562515914440155,0.7417030334472656,0.8047239184379578,0.6832559108734131,-0.2302636355161667,0.8060585228471417
Congo,2008,Africa,7.1,34.6,12.2,3.75,1.2036657,8.255062,0.34119663,20.661348,3.3361444,3.8197922706604004,0.2977898418903351,0.554771900177002,0.525746762752533,0.6029773950576782,-0.12232337892055511,0.8291147470546114
Congo,2009,Africa,7.4,34.6,12.2,3.75,1.5952847,9.130658,0.38474512,21.36743,3.4814742,3.8197922706604004,0.2977898418903351,0.554771900177002,0.525746762752533,0.6029773950576782,-0.12232337892055511,0.8316586509476795
Congo,2010,Africa,7.7,34.6,12.8,6.17,0.56821233,6.9630094,0.38522872,18.847315,2.28248,3.8197922706604004,0.2977898418903351,0.554771900177002,0.525746762752533,0.6029773950576782,-0.12232337892055511,0.8291147470546114
Egypt,2007,Eastern Mediterranean,26.1,14.4,24.1,0.29,0.045141768,9.822848,1.5619051,16.22395,12.811233,5.540510654449463,0.355347603559494,0.6858632564544678,0.6090768575668335,0.5997071862220764,-0.11983220279216766,0.8009486674954438
Ethiopia,2012,Africa,3.6,33.5,5.9,2.5,0.019634884,0.57922906,1.3449897,0.29452327,3.2495735,4.561168670654297,0.1371661275625229,0.6587942838668823,0.7763082385063171,0.5557349324226379,-0.04373173788189888,0.7214596839445381
Madagascar,2006,Africa,3.1,41.6,40.7,1.53,2.9770885,3.5413733,0.46699426,6.6935844,6.9368105,3.9797513484954834,0.16133344173431396,0.7111347317695618,"",0.5625941753387451,-0.03825784847140312,0.7307020089422394
Madagascar,2007,Africa,3.3,41.6,40.7,1.53,3.1790864,3.4513018,0.46665487,7.2623167,6.756774,3.9797513484954834,0.16133344173431396,0.7111347317695618,"",0.5625941753387451,-0.03825784847140312,0.7307020089422394
Malta,2009,Europe,26.4,"",31.4,6.65,32.332584,26.010628,1.5066822,31.976274,20.635439,6.327639579772949,0.35787433385849,0.9157721400260925,0.8031798005104065,0.6256802082061768,0.45815250277519226,0.8041834282853262
Malta,2010,Europe,26.8,"",28.6,6.58,30.041218,24.06342,1.2178873,31.715813,15.771639,5.773874759674072,0.37530267238616943,0.9083214998245239,0.8020443916320801,0.6237109899520874,0.27993541955947876,0.827583525383227
Malta,2011,Europe,27.1,"",28.6,6.58,29.427378,23.282425,1.6192098,31.187387,16.7553,6.154718399047852,0.33970287442207336,0.9226397275924683,0.8819218277931213,0.637833833694458,0.2896195352077484,0.798990050441255
Malta,2012,Europe,27.5,"",28.6,6.58,28.174137,21.922068,1.2444407,31.827816,17.213104,5.96287202835083,0.39050397276878357,0.9217520356178284,0.8606898784637451,0.638694703578949,0.3450198769569397,0.8174578440903468
Malta,2013,Europe,27.8,"",28.6,6.58,29.620964,23.42419,1.1667974,31.934948,16.93327,6.379924774169922,0.3695581257343292,0.9422314167022705,0.9094362854957581,0.6290108561515808,0.40237799286842346,0.7658485232005766
South Africa,2006,Africa,22.9,17.6,22.5,9.58,3.4792633,25.007204,3.765907,7.7888055,16.348585,5.083986759185791,0.2227313369512558,0.913030207157135,0.6487628817558289,0.7242323756217957,-0.09189330786466599,0.8150880050268855
Turkmenistan,2009,Europe,14.8,14.8,9.9,4.88,0.11532223,4.7089915,25.399723,3.3347347,25.83218,6.567713260650635,0.15158361196517944,0.923845648765564,"",0.6953082084655762,-0.10201041400432587,0.6026648408846375
Turkmenistan,2010,Europe,15.3,14.8,8.2,4.82,0.27038094,3.2059453,20.645515,3.7177377,24.23772,6.567713260650635,0.15158361196517944,0.923845648765564,"",0.6953082084655762,-0.10201041400432587,0.6142433396090241
Turkmenistan,2011,Europe,15.8,14.8,8.2,4.82,0.43431845,3.4455929,21.445679,3.3973355,22.372227,5.791754722595215,0.12206799536943436,0.9644187092781067,"",0.5766156315803528,0.018015824258327484,0.5703129109400336
Turkmenistan,2012,Europe,16.3,11.9,8.2,4.82,0.7238003,3.6383028,22.042131,3.628652,22.186892,5.463827133178711,0.11688069999217987,0.9458412528038025,0.7855633497238159,0.5407994389533997,-0.12325817346572876,0.7393553161737165
Turkmenistan,2013,Europe,16.9,11.9,8.2,4.82,0.8878835,3.8217592,22.583122,3.5129304,22.583122,5.391762733459473,0.15960615873336792,0.8457331657409668,0.7045294642448425,0.551942765712738,-0.07196910679340363,0.808857003926744
